label,prop
Bar0,0.216453265
Bar1,0.116965429
Bar2,0.120102433
Bar3,0.328265045
Bar4,0.086267606
Bar5,0.241549296
Bar6,0.070582586
Bar7,0.144974392
Bar8,0.054449424
Bar9,0.070134443
Bar10,0.041229193
Bar11,0.041229193
Bar12,0.035403329
Bar13,0.022183099
Bar14,0.041229193
Bar15,0.012772087
Bar16,0.030025608
Bar17,0.009411012
Bar18,0.026440461
Bar19,0.008290653
Bar20,0.020838668
Bar21,0.004033291
Bar22,0.020166453
Bar23,0.005153649
Bar24,0.018149808
Bar25,0.002464789
Bar26,0.017925736
Bar27,0.002464789
Bar28,0.014788732
Bar29,0.000896287
Bar30,0.0118758
Bar31,0.000448143
Bar32,0.011427657
Bar33,0.000672215
Bar34,0.011651729
Bar35,0.000896287
Bar36,0.010083227
Bar37,0
Bar38,0.141613316
Bar39,0.005825864
